timeClose,timeOpen,quote,timeHigh,timeLow,open,high,low,close,volume,marketCap,timestamp
2022-05-12T23:59:59.999Z,2022-05-12T00:00:00.000Z,,2022-05-12T00:52:00.000Z,2022-05-12T07:19:00.000Z,28936.7339259087,30032.4389484654,26350.4901742248,29047.7510038538,66989173272.36,553017241734.59,2022-05-12T23:59:59.999Z
2022-05-13T23:59:59.999Z,2022-05-13T00:00:00.000Z,,2022-05-13T14:43:00.000Z,2022-05-13T00:21:00.000Z,29030.9103910716,30924.8027176216,28782.3296577337,29283.103811543,42841124537.45,557525025253.19,2022-05-13T23:59:59.999Z
2022-05-14T23:59:59.999Z,2022-05-14T00:00:00.000Z,,2022-05-14T23:02:00.000Z,2022-05-14T16:13:00.000Z,29285.6430028713,30192.8031935087,28702.9095341841,30101.2664459848,28579868619.98,573129618194.88,2022-05-14T23:59:59.999Z
2022-05-15T23:59:59.999Z,2022-05-15T00:00:00.000Z,,2022-05-15T23:58:00.000Z,2022-05-15T05:10:00.000Z,30098.5866261369,31308.1913582629,29527.7403707191,31305.1125686764,25835372064.61,596074575228.33,2022-05-15T23:59:59.999Z
2022-05-16T23:59:59.999Z,2022-05-16T00:00:00.000Z,,2022-05-16T00:01:00.000Z,2022-05-16T16:58:00.000Z,31304.374144248,31305.3425986839,29251.8855581398,29862.9182412919,32613897286.17,568643328349.1,2022-05-16T23:59:59.999Z
2022-05-17T23:59:59.999Z,2022-05-17T00:00:00.000Z,,2022-05-17T13:46:00.000Z,2022-05-17T18:36:00.000Z,29862.4081929416,30694.490950877,29570.3019001848,30425.857276796,29101473475.43,579391415566.42,2022-05-17T23:59:59.999Z
2022-05-18T23:59:59.999Z,2022-05-18T00:00:00.000Z,,2022-05-18T00:37:00.000Z,2022-05-18T23:59:00.000Z,30424.4792225503,30618.715981161,28720.2713997454,28720.2713997454,31285268318.53,546936441379.51,2022-05-18T23:59:59.999Z
2022-05-19T23:59:59.999Z,2022-05-19T00:00:00.000Z,,2022-05-19T15:50:00.000Z,2022-05-19T02:14:00.000Z,28720.3585631289,30430.7522309591,28708.9550418266,30314.3349534984,33773447706.67,577316228899.3,2022-05-19T23:59:59.999Z
2022-05-20T23:59:59.999Z,2022-05-20T00:00:00.000Z,,2022-05-20T01:43:00.000Z,2022-05-20T17:31:00.000Z,30311.1193461763,30664.9763670009,28793.6060336771,29200.7400877833,30749382604.8,556131920268.79,2022-05-20T23:59:59.999Z
2022-05-21T23:59:59.999Z,2022-05-21T00:00:00.000Z,,2022-05-21T16:14:00.000Z,2022-05-21T01:31:00.000Z,29199.8590065676,29588.8688149389,29027.3938182935,29432.2259634811,17274840441.5,560565793081.53,2022-05-21T23:59:59.999Z
2022-05-22T23:59:59.999Z,2022-05-22T00:00:00.000Z,,2022-05-22T23:28:00.000Z,2022-05-22T05:01:00.000Z,29432.4723986064,30425.8605130009,29275.1827640655,30323.7218952694,21631532269.67,577568895835.72,2022-05-22T23:59:59.999Z
2022-05-23T23:59:59.999Z,2022-05-23T00:00:00.000Z,,2022-05-23T07:35:00.000Z,2022-05-23T23:20:00.000Z,30309.3964800086,30590.5864837253,28975.5596093713,29098.909745734,31483454556.82,554268758109.31,2022-05-23T23:59:59.999Z
2022-05-24T23:59:59.999Z,2022-05-24T00:00:00.000Z,,2022-05-24T23:20:00.000Z,2022-05-24T14:13:00.000Z,29101.1252943246,29774.3547202654,28786.5894517928,29655.58613284,26616506244.9,564895173841.06,2022-05-24T23:59:59.999Z
2022-05-25T23:59:59.999Z,2022-05-25T00:00:00.000Z,,2022-05-25T04:01:00.000Z,2022-05-25T12:02:00.000Z,29653.1352936197,30157.7845345246,29384.9493491208,29562.3612655464,27525063551.25,563145244691.91,2022-05-25T23:59:59.999Z
2022-05-26T23:59:59.999Z,2022-05-26T00:00:00.000Z,,2022-05-26T04:23:00.000Z,2022-05-26T13:31:00.000Z,29564.7765107969,29834.1592888614,28261.9057088448,29267.2246712304,36774325352.43,557547946793.11,2022-05-26T23:59:59.999Z
2022-05-27T23:59:59.999Z,2022-05-27T00:00:00.000Z,,2022-05-27T00:32:00.000Z,2022-05-27T18:30:00.000Z,29251.1408637204,29346.9430247971,28326.6136487276,28627.5748531586,36582005748.16,545388222663.76,2022-05-27T23:59:59.999Z
2022-05-28T23:59:59.999Z,2022-05-28T00:00:00.000Z,,2022-05-28T13:19:00.000Z,2022-05-28T01:46:00.000Z,28842.1038446105,29135.9182578598,28554.5660193876,29023.4880392653,19252320707.98,552958193308.48,2022-05-28T23:59:59.999Z
2022-05-29T23:59:59.999Z,2022-05-29T00:00:00.000Z,,2022-05-29T22:43:00.000Z,2022-05-29T02:28:00.000Z,29019.8674141315,29498.0088389573,28841.1064887385,29445.9576239208,18093886409.16,561034743433.25,2022-05-29T23:59:59.999Z
2022-05-30T23:59:59.999Z,2022-05-30T00:00:00.000Z,,2022-05-30T21:25:00.000Z,2022-05-30T00:58:00.000Z,29443.3657109831,31949.6316183118,29303.571633074,31726.3906858653,39277993273.94,604513442525.64,2022-05-30T23:59:59.999Z
